Province,District,Long,Lat,Ele,River ,Flat,"Main OCC
Farming
0:No
1:Yes","Second OCC
Farming
0:No
1:Yes","Migration
BackG
0:No
1:Yes","Literate
0:no
1:yes","Gender 
0:F
1:M",Age,"Change in
farm income
0:decreased
1:no change
2:increased ","Environment
reason for
increase
0:no
1:yes","Agri
reason for
increase
0:no
1:yes","Economic
reason for
increase
0:no
1:yes","Price Change/
Economic reason
for decrease
0:no
1:yes","Environment
reason for
decrease
0:no
1:yes ","Environment
constrain
0:no
1:yes",t8,r8,Fuel
1,4,67.177968,34.382468,3199.28418,0,0,1,1,0,1,1,50,0,0,0,0,0,1,1,14.19897275,0.64281,15000
1,4,67.178395,34.376477,3199.28418,1,0,1,1,1,1,1,68,0,0,0,0,1,1,1,14.19897275,0.64281,90000
1,4,67.033992,34.47656,3268.948242,0,0,1,1,0,1,1,42,0,0,0,0,0,1,1,13.97518325,0.70471275,3500
1,4,67.177783,34.380908,3199.28418,1,1,1,0,0,1,1,45,1,0,0,0,0,0,1,14.19897275,0.64281,75000
1,4,67.03223,34.366918,3169.074219,0,0,1,0,0,1,1,37,0,0,0,0,0,1,1,14.6130375,0.55847925,25000
1,4,67.002392,34.389727,3182.177979,1,0,1,0,1,1,1,43,1,0,0,0,0,0,1,14.53104775,0.59747775,0
1,4,67.011417,34.412191,3202.156982,1,1,1,1,1,1,1,55,0,0,0,0,0,1,1,14.354458,0.63020925,30000
1,4,67.052759,34.417172,3205.053955,1,0,1,1,0,0,1,40,0,0,0,0,0,1,0,14.2602865,0.620125,25000
1,4,67.034521,34.385807,3186.812256,1,1,1,1,1,1,1,50,2,0,1,0,0,0,1,14.44593575,0.59210325,30000
1,4,67.188677,34.400057,3208.609619,1,1,1,1,0,0,1,60,0,0,0,0,1,1,1,14.033938,0.6611535,70000
1,4,66.983023,34.38368,3180.47168,1,0,1,1,1,1,1,45,2,1,1,1,0,0,1,14.55256325,0.599885,0
1,4,67.182176,34.389626,3204.081787,1,1,1,0,0,0,1,30,2,1,1,1,0,0,1,14.1004435,0.65623475,30000
1,4,67.053347,34.442652,3231.266846,1,1,1,1,0,0,1,60,0,0,0,0,0,0,0,14.12338825,0.650872,0
1,4,67.172977,34.380786,3199.28418,1,1,1,1,1,1,1,55,1,0,0,0,0,0,1,14.19897275,0.64281,20000
1,4,67.029408,34.404055,3194.324219,1,0,1,1,1,0,1,70,0,0,0,0,0,1,1,14.399812,0.610351,2500
1,4,67.17811,34.38264,3204.07959,1,1,1,1,1,0,1,18,0,0,0,0,0,1,1,14.120665,0.64925925,12500
1,4,67.188489,34.401018,3208.609619,1,1,1,1,0,1,1,54,0,0,0,0,1,1,1,14.033938,0.6611535,65000
1,4,67.023274,34.387948,3185.346436,1,0,1,1,0,0,1,35,2,0,1,0,0,0,0,14.477628,0.5935075,25000
1,4,67.033112,34.475053,3268.948242,0,1,1,1,0,0,1,60,2,0,1,0,0,0,1,13.97518325,0.70471275,25000
1,4,67.181077,34.373835,3199.533203,1,0,1,1,0,1,1,30,0,0,0,0,0,1,0,14.1777865,0.65030675,20000
1,4,67.069423,34.462042,3242.224121,1,0,1,1,0,0,1,28,1,0,0,0,0,0,1,13.93840425,0.66768725,5000
1,4,67.01451,34.386404,3183.802002,1,0,1,1,0,1,1,50,0,0,0,0,0,1,1,14.506123,0.59532375,40000
1,4,67.159132,34.381342,3198.928955,1,1,1,1,1,1,1,43,2,1,1,1,0,0,1,14.2217335,0.63626,150000
1,4,67.060897,34.462717,3243.162109,1,1,1,1,0,0,1,29,2,0,1,0,0,0,1,13.96746225,0.6730125,7500
1,4,67.143617,34.375118,3190.596436,1,0,1,1,1,0,1,80,0,0,0,0,0,1,1,14.242061,0.58966675,25000
1,4,67.178923,34.383522,3204.07959,1,1,1,1,0,0,1,45,0,0,0,0,0,1,1,14.120665,0.64925925,15000
1,4,67.182237,34.389582,3204.081787,1,1,1,1,1,1,1,28,0,0,0,0,0,1,1,14.1004435,0.65623475,20000
1,4,67.054307,34.463045,3261.262451,1,1,1,1,0,1,1,33,0,0,0,0,0,1,1,14.00035125,0.6805625,10000
1,4,66.993301,34.432931,3232.477783,1,1,0,1,0,1,1,54,0,0,0,0,0,1,1,14.24319,0.66905275,0
1,4,66.998083,34.38958,3182.177979,1,1,1,1,0,0,1,36,2,0,1,0,0,0,1,14.53104775,0.59747775,40000
1,4,66.999518,34.388482,3182.177979,1,0,1,0,1,1,1,50,0,0,0,0,0,1,0,14.53104775,0.59747775,25000
1,4,67.027792,34.468087,3263.880127,0,0,1,1,1,0,1,56,0,0,0,0,0,1,1,14.0672535,0.6947975,10000
1,4,66.955789,34.38038,3166.515381,1,1,1,1,0,1,1,40,0,0,0,0,0,1,1,14.67802025,0.582506,10000
1,4,67.070015,34.46219,3242.224121,0,0,1,1,1,0,1,56,0,0,0,0,0,1,1,13.93840425,0.66768725,10000
1,4,67.05453,34.463222,3243.162109,1,0,1,0,0,0,1,34,0,0,0,0,0,0,1,13.96746225,0.6730125,10000
1,4,67.022179,34.391895,3185.346436,1,1,1,0,0,1,1,52,2,0,1,1,0,0,1,14.477628,0.5935075,25000
1,4,67.010482,34.417167,3202.156982,1,1,0,1,1,1,1,55,2,0,0,0,0,0,1,14.354458,0.63020925,20000
1,4,66.984619,34.354037,3150.788818,1,1,1,1,1,1,1,21,1,0,0,0,0,0,0,14.82878575,0.53320775,0
1,4,67.178938,34.383123,3204.07959,1,1,1,1,0,0,1,65,0,0,0,0,1,1,1,14.120665,0.64925925,20000
1,4,67.023274,34.387948,3185.346436,1,0,1,1,1,1,1,52,0,0,0,0,0,1,1,14.477628,0.5935075,35000
1,4,67.177952,34.382504,3199.28418,1,1,1,0,0,0,1,80,0,0,0,0,1,1,1,14.19897275,0.64281,115000
1,4,67.171641,34.382989,3204.07959,1,0,1,1,1,0,1,46,0,0,0,0,1,1,1,14.120665,0.64925925,60000
1,4,67.012526,34.409292,3202.156982,1,0,1,1,0,1,1,40,0,0,0,0,0,1,1,14.354458,0.63020925,5000
1,4,67.029423,34.404117,3194.324219,1,0,1,1,0,0,1,48,2,1,0,0,0,0,1,14.399812,0.610351,0
1,4,67.171743,34.382758,3204.07959,1,1,1,1,0,0,1,30,0,0,0,0,0,1,1,14.120665,0.64925925,9000
1,4,67.018385,34.4033333,3194.324219,1,1,1,0,0,0,1,40,0,0,0,0,0,1,1,14.399812,0.610351,15000
1,4,67.073714,34.354421,3166.28833,1,0,1,1,0,1,1,50,0,0,0,0,1,0,0,14.60017175,0.54743875,35000
1,4,67.127115,34.350437,3173.264404,1,0,1,1,1,0,1,50,0,0,0,0,0,1,1,14.48401675,0.5568785,15000
1,4,67.127813,34.376162,3191.002197,0,0,1,1,1,0,1,42,2,0,1,1,0,0,1,14.295835,0.584534,75000
1,4,67.182616,34.389016,3204.081787,1,1,1,0,1,1,1,35,0,0,0,0,1,1,1,14.1004435,0.65623475,60000
1,4,67.026047,34.39253,3185.346436,1,1,1,1,0,1,1,35,0,0,0,0,0,1,0,14.477628,0.5935075,20000
1,4,67.188362,34.401007,3208.609619,1,1,0,1,0,1,1,24,0,0,0,0,0,1,0,14.033938,0.6611535,15000
1,4,67.127119,34.349751,3173.264404,1,0,1,0,1,1,1,31,1,0,0,0,0,0,1,14.48401675,0.5568785,25000
1,4,67.029482,34.404167,3194.324219,1,1,1,1,0,0,1,56,2,1,0,0,0,0,0,14.399812,0.610351,7500
1,4,67.178142,34.382563,3199.28418,1,0,1,0,1,1,1,35,0,0,0,0,1,1,1,14.19897275,0.64281,50000
1,4,67.177903,34.382403,3199.28418,1,1,1,1,0,1,1,19,0,0,0,0,0,1,0,14.19897275,0.64281,30000
1,4,67.17886,34.376598,3199.28418,1,0,1,1,1,1,1,40,0,0,0,0,0,1,1,14.19897275,0.64281,30000
1,4,67.009852,34.388946,3183.802002,1,0,1,1,0,0,1,45,2,0,1,0,0,0,1,14.506123,0.59532375,25000
1,4,67.029377,34.404045,3194.324219,1,0,1,1,1,0,1,50,2,1,0,0,0,0,1,14.399812,0.610351,10000
1,4,67.02486,34.391982,3185.346436,1,1,1,1,0,1,1,18,0,0,0,0,1,1,1,14.477628,0.5935075,100000
1,4,67.182027,34.383448,3204.081787,0,1,1,1,1,1,1,42,0,0,0,0,0,1,1,14.1004435,0.65623475,100000
1,4,67.019439,34.375766,3176.272949,1,1,1,1,0,0,1,40,0,0,0,0,1,0,0,14.55982,0.5759035,30000
1,4,67.190605,34.40534,3208.609619,1,1,1,1,0,0,1,33,0,0,0,0,0,1,1,14.033938,0.6611535,15000
1,4,67.178015,34.380975,3199.28418,1,1,0,1,0,1,1,38,0,0,0,0,0,1,0,14.19897275,0.64281,10000
2,8,67.531287,32.952975,2442.325684,0,1,0,0,0,1,1,66,1,0,0,0,0,0,1,19.91350425,5.2726375,0
2,8,67.405357,32.965742,2528.24292,0,0,1,0,1,0,1,75,2,1,0,1,0,0,1,19.4313295,6.3006575,0
2,8,67.538623,32.950433,2442.325684,0,1,0,0,1,1,1,54,0,0,0,0,0,1,1,19.91350425,5.2726375,0
2,8,67.531437,32.953183,2442.325684,0,1,1,0,1,0,1,70,0,0,0,0,0,1,1,19.91350425,5.2726375,0
2,8,67.654768,33.36363,2932.893799,0,0,1,0,0,0,1,50,0,0,0,0,0,1,1,16.6567,10.94094175,0
2,8,67.251878,33.041775,2708.797363,0,0,0,0,0,0,0,46,0,0,0,0,0,1,1,18.2319025,8.853788,0
2,8,67.654518,33.36886,2932.893799,0,0,1,1,0,0,1,23,1,0,0,0,0,0,1,16.6567,10.94094175,0
2,8,67.654262,33.36874,2932.893799,0,0,1,0,0,1,1,31,0,0,0,0,0,1,1,16.6567,10.94094175,0
2,8,67.382085,33.261332,2949.124512,0,0,0,0,0,1,1,19,0,0,0,0,0,1,1,16.69503975,11.2913205,0
2,8,67.53665,32.956138,2442.325684,0,1,1,0,1,0,1,67,0,0,0,0,0,1,1,19.91350425,5.2726375,0
2,8,67.251887,33.033097,2689.387695,0,0,1,1,0,1,1,18,1,0,0,0,0,0,1,18.31214025,8.79005225,0
2,8,67.263437,33.101822,2803.876465,0,0,0,1,1,0,1,40,1,0,0,0,0,0,1,17.70376,9.1876035,0
2,8,67.551673,33.18316,2722.486816,0,0,0,0,1,0,1,45,0,0,0,0,0,1,1,17.53461075,10.504409,0
2,8,67.263398,33.101825,2803.876465,0,0,1,1,1,0,1,65,0,0,0,0,0,1,1,17.70376,9.1876035,0
2,8,67.221733,33.200322,2970.23877,1,0,0,1,1,0,1,52,2,1,0,0,0,0,0,16.92670325,9.587943,0
2,8,67.53082,32.952768,2442.325684,0,1,0,0,1,1,1,60,1,0,0,0,0,0,1,19.91350425,5.2726375,0
2,8,67.327247,33.22794,2948.756836,0,0,1,0,1,0,1,52,0,0,0,0,0,1,1,16.877089,10.3112115,0
2,8,67.412543,32.973325,2546.11377,0,0,1,0,1,1,1,43,0,0,0,0,0,1,1,19.3429965,6.45485975,4500
2,8,67.531275,32.95316,2442.325684,0,1,1,1,1,1,1,32,0,0,0,0,0,1,1,19.91350425,5.2726375,0
2,8,67.252108,33.031637,2689.387695,0,0,1,1,1,0,1,65,0,0,0,0,0,1,1,18.31214025,8.79005225,0
2,8,67.654462,33.368887,2932.893799,0,0,1,1,1,0,1,76,0,0,0,0,0,1,1,16.6567,10.94094175,0
2,8,67.563153,33.000102,2490.602295,0,0,0,1,1,1,1,42,1,0,0,0,0,0,1,19.63119275,5.8449215,0
2,8,67.571507,33.195293,2729.106445,0,0,0,0,1,0,1,63,0,0,0,0,0,1,1,17.5280495,10.471251,0
2,8,67.36458,33.229043,2926.23999,1,0,1,0,1,0,1,57,0,0,0,0,0,1,1,16.90821025,10.78805275,0
2,8,67.397767,33.274465,2951.804199,1,0,1,0,1,1,1,64,0,0,0,0,0,1,0,16.627849,11.37500675,15750
2,8,67.373105,33.233887,2931.391113,0,0,1,0,1,0,1,66,0,0,0,0,0,1,1,16.83731175,11.027527,0
2,8,67.56293,32.999902,2490.602295,0,1,0,0,1,1,1,37,0,0,0,0,1,1,1,19.63119275,5.8449215,0
2,8,67.5519,33.183923,2738.986328,0,0,1,0,1,0,1,67,0,0,0,0,0,1,1,17.43021225,10.720939,0
2,8,67.372035,33.233925,2931.391113,0,0,1,1,1,0,1,55,0,0,0,0,0,1,1,16.83731175,11.027527,0
2,8,67.474863,33.039918,2587.02124,0,0,1,0,1,0,1,70,0,0,0,0,0,1,1,19.051443,6.98196525,0
2,8,67.637297,33.124892,2615.432861,0,0,1,0,1,1,1,74,0,0,0,0,0,1,1,18.55963125,8.154844,0
2,8,67.409282,33.277962,2946.410156,1,1,0,0,1,1,1,20,0,0,0,0,0,1,1,16.62912375,11.4977135,4500
2,8,67.56296,32.999755,2490.602295,0,1,0,0,0,0,1,60,0,0,0,0,0,1,1,19.63119275,5.8449215,0
2,8,67.536057,32.946308,2425.797363,0,1,1,0,0,0,1,76,0,0,0,0,0,1,1,19.99776975,5.1261345,0
2,8,67.211708,33.200123,2977.356201,0,0,1,0,1,1,1,60,0,0,0,0,0,0,0,16.925946,9.5286305,0
2,8,67.413148,32.972508,2546.11377,0,0,0,0,1,1,1,32,1,0,0,0,0,0,1,19.3429965,6.45485975,0
2,8,67.551465,33.181787,2722.486816,0,0,0,0,1,1,1,33,1,0,0,0,0,0,1,17.53461075,10.504409,0
2,8,67.53747,32.953495,2442.325684,0,1,1,1,1,0,1,80,0,0,0,0,0,1,1,19.91350425,5.2726375,0
2,8,67.531185,32.952843,2442.325684,0,1,0,0,0,0,1,75,0,0,0,0,0,1,1,19.91350425,5.2726375,0
2,8,67.531058,32.95287,2442.325684,0,1,0,0,1,1,1,56,1,0,0,0,0,0,1,19.91350425,5.2726375,0
2,8,67.384137,33.249272,2936.831055,1,0,1,0,1,0,1,32,1,0,0,0,0,0,1,16.7664815,11.24151925,0
2,8,67.409592,33.2774,2946.410156,1,1,1,0,1,1,1,52,0,0,0,0,0,1,1,16.62912375,11.4977135,0
2,8,67.65451,33.368815,2932.893799,0,0,0,0,0,0,1,80,0,0,0,0,0,1,1,16.6567,10.94094175,4500
2,8,67.541375,32.956073,2442.325684,0,1,1,0,1,0,1,45,2,0,0,1,0,0,0,19.91350425,5.2726375,0
2,8,67.217675,33.200575,2970.23877,0,0,1,1,1,0,1,23,1,0,0,0,0,0,1,16.92670325,9.587943,0
2,8,67.438128,32.975405,2532.930664,0,0,0,1,1,1,1,37,0,0,0,0,0,1,1,19.42985075,6.25516475,0
2,8,67.464435,33.045967,2593.375488,0,0,1,0,1,0,1,66,0,0,0,0,0,1,1,19.0110435,7.0579405,0
2,8,67.470575,33.084103,2642.362549,0,0,0,0,1,1,1,29,1,0,0,0,0,0,1,18.409741,8.4118725,0
2,8,67.474395,33.085803,2642.362549,0,0,0,0,1,1,1,23,0,0,0,0,1,1,1,18.409741,8.4118725,0
2,8,67.537062,32.97135,2443.808838,0,1,0,0,1,0,1,63,1,0,0,0,0,0,0,19.82580525,5.382164,0
2,8,67.252615,33.028187,2689.387695,0,0,1,0,1,0,1,50,0,0,0,0,0,1,1,18.31214025,8.79005225,0
2,8,67.464493,33.046088,2593.375488,0,0,1,0,1,0,1,63,0,0,0,0,0,1,1,19.0110435,7.0579405,0
2,8,67.538633,32.950198,2442.325684,0,1,1,0,1,1,1,60,0,0,0,0,0,1,1,19.91350425,5.2726375,0
2,8,67.479222,33.167618,2752.278809,0,0,0,0,1,0,1,38,0,0,0,0,0,1,1,17.465695,10.601666,0
2,8,67.476642,33.172198,2774.458252,0,0,0,1,1,0,1,42,0,0,0,0,0,1,1,17.33743675,10.82854925,0
2,8,67.40607,32.969268,2528.24292,0,0,1,0,1,0,1,65,0,0,0,0,0,1,1,19.4313295,6.3006575,0
2,8,67.541611,33.155458,2689.383545,0,0,0,0,1,1,1,18,2,1,0,1,0,0,1,17.769981,9.99449725,4500
2,8,67.654337,33.368573,2932.893799,0,0,1,0,0,0,1,38,1,0,0,0,0,0,1,16.6567,10.94094175,0
2,8,67.557588,33.006382,2490.602295,0,1,0,0,1,0,1,67,0,0,0,0,0,1,1,19.63119275,5.8449215,0
2,8,67.638642,33.126057,2615.432861,0,0,1,1,1,0,1,76,0,0,0,0,0,1,1,18.55963125,8.154844,0
2,8,67.56316,32.999607,2490.602295,0,1,1,0,1,0,1,55,0,0,0,0,0,1,1,19.63119275,5.8449215,0
2,8,67.364478,33.229012,2926.23999,0,0,1,0,1,1,1,36,0,0,0,0,0,1,1,16.90821025,10.78805275,0
2,8,67.381673,32.913258,2454.142822,0,0,0,0,1,1,1,35,0,0,0,0,0,1,1,19.65944225,6.041412,0
2,8,67.422082,32.968407,2521.759277,0,0,1,0,1,1,1,63,1,0,0,0,0,0,1,19.47578125,6.1948045,2250
2,8,67.498632,32.94759,2463.443359,0,0,1,0,1,1,1,51,0,0,0,0,0,1,1,19.800643,5.49066425,0
2,8,67.497723,32.945167,2447.026855,0,0,1,0,1,0,1,68,0,0,0,0,0,1,1,19.889105,5.31998575,0
2,8,67.389045,33.073752,2693.438477,1,0,1,0,1,1,1,86,0,0,0,0,0,1,1,18.3078285,8.41208225,0
1,8,67.309342,33.349957,3043.37915,0,0,1,0,1,0,1,60,1,0,0,0,0,0,1,16.290678,9.820524,2250
2,8,67.658045,33.341205,2902.841064,0,0,1,0,1,0,1,65,0,0,0,0,0,1,1,16.88324625,10.71522525,0
2,8,67.474812,33.170545,2757.845947,0,0,1,0,1,0,1,73,0,0,0,0,0,1,1,17.4420345,10.6091685,0
2,8,67.53131,32.952863,2442.325684,0,1,0,1,0,0,1,45,1,0,0,0,0,0,1,19.91350425,5.2726375,2250
2,8,67.53577,32.948717,2442.325684,0,1,1,0,1,1,1,55,1,0,0,0,0,0,1,19.91350425,5.2726375,0
2,8,67.658655,33.341085,2902.841064,0,0,0,1,1,1,1,36,0,0,0,0,0,0,0,16.88324625,10.71522525,0
2,8,67.252437,33.028278,2689.387695,0,0,0,0,0,1,1,65,0,0,0,0,0,1,1,18.31214025,8.79005225,9000
2,8,67.537632,32.955903,2442.325684,0,1,1,0,1,0,1,55,0,0,0,0,0,1,1,19.91350425,5.2726375,9000
2,8,67.25331,33.024777,2689.387695,0,0,1,1,1,0,1,35,1,0,0,0,0,0,1,18.31214025,8.79005225,0
2,8,67.252532,33.028267,2689.387695,0,0,1,0,1,0,1,40,0,0,0,0,0,1,1,18.31214025,8.79005225,0
2,8,67.538675,32.95032,2442.325684,0,1,0,0,1,1,1,54,0,0,0,0,0,1,1,19.91350425,5.2726375,0
2,8,67.218015,33.200367,2970.23877,0,0,1,0,1,0,1,65,0,0,0,0,0,0,0,16.92670325,9.587943,0
2,8,67.654077,33.368768,2932.893799,0,0,1,1,0,1,1,38,1,0,0,0,0,0,1,16.6567,10.94094175,0
2,8,67.536592,32.95129,2442.325684,0,1,1,0,1,1,1,63,0,0,0,0,0,1,1,19.91350425,5.2726375,0
2,8,67.409005,33.272567,2946.410156,1,0,1,0,1,0,1,60,1,0,0,0,0,0,1,16.62912375,11.4977135,9000
2,8,67.54824,33.18063,2722.486816,0,0,1,0,1,0,1,55,2,1,0,1,0,0,1,17.53461075,10.504409,0
2,8,67.654412,33.368915,2932.893799,1,0,1,0,0,1,1,36,0,0,0,0,0,1,1,16.6567,10.94094175,0
2,8,67.538537,32.950218,2442.325684,0,1,0,1,1,1,1,60,0,0,0,0,0,1,1,19.91350425,5.2726375,0
2,8,67.531158,32.952852,2442.325684,0,1,0,0,0,1,1,40,1,0,0,0,0,0,0,19.91350425,5.2726375,0
2,8,67.455547,33.053892,2610.157715,0,0,1,0,1,1,1,34,0,0,0,0,0,1,1,18.88208275,7.33086525,3600
2,8,67.263365,33.102198,2803.876465,0,0,0,0,0,1,1,72,0,0,0,0,0,1,1,17.70376,9.1876035,0
2,8,67.253983,33.037543,2708.797363,0,0,0,0,0,1,1,18,0,0,0,0,0,1,1,18.2319025,8.853788,0
2,8,67.405615,32.965397,2528.24292,0,0,0,0,1,1,1,30,0,0,0,0,0,1,1,19.4313295,6.3006575,0
2,8,67.498663,32.944157,2447.026855,0,0,1,0,1,0,1,45,2,1,0,0,0,0,0,19.889105,5.31998575,0
2,8,67.382887,33.260262,2949.124512,0,0,1,1,1,0,1,34,2,0,0,1,0,0,1,16.69503975,11.2913205,0
2,8,67.47368,33.039558,2587.02124,0,0,1,0,0,0,1,60,0,0,0,0,0,1,1,19.051443,6.98196525,0
2,8,67.36446,33.229107,2926.23999,0,0,1,0,1,1,1,65,0,0,0,0,0,1,1,16.90821025,10.78805275,0
2,8,67.654433,33.368898,2932.893799,0,0,1,0,0,0,1,70,0,0,0,0,0,1,1,16.6567,10.94094175,0
2,8,67.531172,32.953483,2442.325684,0,1,0,0,1,0,1,53,0,0,0,0,0,1,1,19.91350425,5.2726375,0
2,8,67.384662,32.912268,2454.142822,0,0,1,0,1,0,1,76,0,0,0,0,0,1,1,19.65944225,6.041412,0
2,8,67.562797,32.999488,2490.602295,0,1,1,0,1,0,1,70,0,0,0,0,0,1,1,19.63119275,5.8449215,0
2,8,67.51161,32.938562,2440.039795,0,0,1,0,1,1,0,38,1,0,0,0,0,0,1,19.9256505,5.251451,0
2,8,67.648492,33.37013,2941.024414,0,0,1,1,1,0,1,36,0,0,0,0,0,1,1,16.5858455,11.11662375,0
2,8,67.459718,33.043975,2593.375488,0,0,1,0,1,1,1,70,0,0,0,0,0,1,1,19.0110435,7.0579405,4500
2,8,67.410503,32.973172,2546.11377,0,0,0,0,1,1,1,35,0,0,0,0,0,1,1,19.3429965,6.45485975,0
2,8,67.384892,32.912068,2454.142822,0,0,0,0,1,1,1,37,0,0,0,0,0,1,1,19.65944225,6.041412,0
2,8,67.463293,33.043483,2593.375488,0,0,0,0,1,1,1,36,0,0,0,0,0,1,1,19.0110435,7.0579405,0
2,8,67.426367,32.968368,2521.759277,0,0,1,1,1,0,1,46,0,0,0,0,0,1,1,19.47578125,6.1948045,2250
2,8,67.252393,33.02809,2689.387695,0,0,1,0,1,1,1,50,1,0,0,0,0,0,1,18.31214025,8.79005225,0
2,8,67.553483,33.004468,2496.609619,0,1,0,0,1,0,1,47,0,0,0,0,0,1,1,19.592102,5.9179615,0
2,8,67.37231,33.234317,2931.391113,0,0,1,0,0,1,1,72,0,0,0,0,0,1,0,16.83731175,11.027527,0
2,8,67.556657,33.004065,2490.602295,0,0,0,0,1,1,1,30,0,0,0,0,0,1,1,19.63119275,5.8449215,0
2,8,67.661755,33.357105,2917.892822,0,1,1,1,0,0,1,70,0,0,0,0,0,1,1,16.77256325,10.82727025,0
2,8,67.531135,32.953105,2442.325684,0,1,0,0,1,1,1,45,0,0,0,0,0,1,1,19.91350425,5.2726375,0
2,8,67.47547,33.085765,2642.362549,0,0,1,0,1,0,1,60,0,0,0,0,0,1,1,18.409741,8.4118725,0
2,8,67.515003,32.940105,2440.039795,0,0,1,1,1,1,1,50,0,0,0,0,0,1,1,19.9256505,5.251451,9000
2,8,67.395333,33.271952,2951.804199,1,0,0,0,0,1,1,18,1,0,0,0,0,0,1,16.627849,11.37500675,0
2,8,67.252712,33.027887,2689.387695,0,0,1,0,0,0,1,38,0,0,0,0,0,1,1,18.31214025,8.79005225,0
2,8,67.372292,33.234495,2931.391113,0,0,1,1,1,0,1,42,0,0,0,0,0,1,1,16.83731175,11.027527,3600
2,8,67.381535,33.262,2949.124512,0,0,1,0,1,1,1,50,0,0,0,0,0,1,1,16.69503975,11.2913205,0
2,8,67.476213,33.169802,2757.845947,0,0,1,0,0,0,1,89,0,0,0,0,0,1,1,17.4420345,10.6091685,0
